cust_id,country
41964,Canada
15241,Germany
33702,USA
83023,Canada
80756,USA
85374,Mexico
68158,USA
59944,Germany
68536,Canada
17380,Mexico
33247,USA
49786,USA
16962,Mexico
98435,USA
31785,Germany
50166,USA
85832,Mexico
98602,Austria
33026,USA
49231,Austria
68280,Germany
902,Canada
46301,USA
98865,USA
37000,Canada
51323,Germany
99562,USA
70127,USA
30928,Germany
35670,USA
58890,Mexico
20374,Canada
59011,Germany
8626,Germany
33528,Mexico
67287,USA
13383,Canada
21344,USA
8518,USA
2533,Germany
6604,Austria
73520,Canada
83831,Mexico
60030,Germany
84113,USA
98518,USA
86406,Canada
41557,Canada
93261,Mexico
30658,USA
64464,USA
31548,USA
37802,USA
80518,USA
55723,USA
64761,Germany
37741,Canada
14736,Mexico
70302,Canada
21318,USA
27983,USA
49750,USA
85395,Germany
22599,Mexico
4987,Mexico
66992,USA
41448,USA
48666,USA
57884,USA
41891,USA
47993,Mexico
92024,USA
83911,USA
61091,USA
55727,USA
67594,Germany
87481,USA
32739,Mexico
22096,Canada
32404,USA
52931,USA
13910,USA
20134,USA
16018,USA
45163,USA
96799,Germany
39101,USA
18321,USA
36903,Germany
65752,Germany
34083,USA
67474,Canada
17592,USA
6600,Germany
66582,USA
52394,Germany
98721,USA
35702,USA
88123,Germany
28132,Canada
18401,USA
18845,Canada
53790,USA
27100,Mexico
81469,USA
49674,Canada
7565,Canada
85789,Mexico
64289,USA
29101,USA
95190,USA
64987,USA
44703,Canada
92248,Germany
78425,Mexico
26766,USA
56480,USA
75580,USA
89600,Canada
12212,Germany
57824,USA
12774,Austria
90837,USA
67362,Canada
26905,USA
83372,USA
64115,USA
20345,Mexico
68485,Austria
46458,Mexico
47927,Germany
50342,USA
36566,USA
87145,USA
80844,USA
17375,Mexico
31975,USA
91430,USA
6607,USA
43108,USA
13500,Germany
7068,USA
73083,USA
78203,Canada
24013,Canada
92841,Canada
50843,Canada
12367,USA
71611,Germany
27258,USA
14150,USA
27324,USA
26995,Germany
6898,USA
13103,USA
27908,USA
83598,Mexico
51374,USA
60970,USA
61302,Austria
98422,USA
36391,USA
41317,USA
67739,Canada
50854,USA
62923,Germany
44598,USA
68787,USA
99415,USA
78159,USA
91300,Mexico
37501,USA
84494,USA
62611,USA
96152,USA
74847,USA
24397,USA
4842,USA
46059,USA
10293,USA
50027,USA
85723,Mexico
87675,USA
5503,Austria
52498,Canada
68822,USA
52043,USA
62134,Germany
38827,Austria
71322,Canada
21764,Austria
16239,USA
60598,Germany
68146,Mexico
15669,USA
65176,Canada
33704,USA
79683,USA
28337,USA
57891,Germany
14644,Canada
10820,Canada
63696,USA
2609,Mexico
54421,USA
56669,USA
40130,USA
3894,Canada
52687,USA
25360,USA
93080,USA
53483,Austria
66329,USA
19769,USA
23484,USA
40375,USA
45670,Mexico
8010,USA
76952,Mexico
91042,USA
79220,Canada
91421,USA
52623,Canada
70657,USA
24817,Canada
31728,USA
3270,Austria
54101,Germany
61049,USA
62001,Germany
39260,USA
36705,USA
54691,USA
87775,Germany
77849,USA
60757,USA
88886,USA
57982,USA
45013,USA
29502,USA
98874,USA
67719,Canada
61413,USA
3232,Canada
99094,USA
18656,USA
47802,USA
81863,Germany
55159,Canada
58439,Canada
62273,Canada
7228,USA
84771,Germany
21494,USA
67347,USA
96924,Germany
31905,Canada
33368,USA
5800,USA
35738,USA
96076,USA
7631,Germany
37246,Austria
63950,Germany
73199,Canada
12251,Germany
78899,USA
6515,Canada
6621,USA
65888,Germany
22518,USA
64662,USA
801,USA
35463,Canada
52011,Mexico
60790,Germany
6475,USA
77813,USA
65593,USA
48767,USA
54766,USA
60069,USA
37837,USA
19694,Canada
56037,USA
4726,USA
33472,USA
14690,Canada
89275,USA
3705,Austria
19005,USA
45127,Canada
1956,Canada
10928,USA
75095,Canada
99633,USA
17337,USA
53893,USA
84260,USA
37333,Mexico
94331,Germany
93084,Germany
12821,USA
90236,Canada
28931,Canada
24481,Mexico
91115,USA
51747,Mexico
26134,USA
95538,USA
52641,USA
44266,USA
78752,USA
40863,USA
38329,USA
12359,USA
77105,USA
42262,USA
2504,Germany
62739,Canada
91898,Austria
27158,Germany
60168,USA
19728,Canada
77948,Mexico
5636,USA
82023,USA
35471,USA
60977,USA
68109,Canada
1017,USA
24753,Canada
87002,USA
41483,Mexico
56979,USA
26839,USA
29585,Canada
67264,USA
82319,Mexico
19403,Canada
30890,USA
14851,USA
5242,Germany
52272,USA
95406,USA
15116,Canada
16924,USA
75400,USA
64918,USA
33386,Canada
33242,USA
38579,USA
50302,Canada
73675,Austria
89612,USA
62362,Canada
68547,USA
31205,USA
42985,Germany
95696,USA
51992,USA
4443,USA
80536,Canada
87175,USA
46452,Canada
45188,Canada
15620,Mexico
16537,USA
64594,USA
11547,Mexico
41687,Canada
6524,Canada
65622,Germany
20971,USA
12806,USA
97483,USA
88563,USA
91074,USA
7035,USA
44831,Canada
20577,USA
27612,Mexico
64152,Canada
90078,USA
24485,USA
51282,USA
61016,Germany
16565,USA
96785,USA
20022,Austria
17110,Germany
46377,Mexico
99165,Austria
3264,USA
51674,USA
57744,Germany
83228,Canada
10843,USA
51826,Germany
74859,Canada
2521,Canada
10688,USA
74215,USA
14139,USA
10298,USA
21832,USA
26589,Mexico
65214,Canada
87838,USA
21115,Mexico
1241,USA
73129,Germany
18914,USA
68063,USA
58745,USA
92093,USA
93308,USA
2004,Canada
23413,USA
33841,USA
29267,Canada
87571,USA
64973,Canada
61244,USA
87135,USA
9101,USA
53900,Germany
28588,Canada
6611,USA
89191,USA
11881,USA
78652,USA
86102,USA
56007,Canada
29949,USA
82148,USA
42390,Canada
67187,Canada
70739,USA
14581,Germany
