cust_id,order_id
11013,97988
98993,50233
87790,1930
47427,29204
52651,124176
31821,70746
97347,155963
58705,19227
6373,139790
13351,93263
6336,67687
68466,45834
64771,153520
43517,145032
21278,47759
66912,102345
51495,111236
6654,135741
11633,37528
27992,43822
18162,92904
88768,68739
43128,84348
9092,133988
53183,63098
38025,7210
98909,54133
91964,152734
39561,73000
21571,49583
64624,36676
38047,42730
67381,71632
90718,6431
62973,25867
18521,136030
23518,61021
63659,98863
41895,155964
69764,125819
55436,12967
8008,131183
50245,70129
88837,6085
88058,23279
73859,51379
71630,94310
31853,3103
18481,21004
37512,39215
96954,120405
55469,99646
79906,54276
94173,45894
38372,52186
89486,418
24861,133487
7908,53850
59289,55682
97855,46408
54386,65295
45836,1708
43731,35952
85903,84418
47221,67661
34533,24841
89496,89140
38787,9351
76261,45739
2530,52863
55247,31915
61825,17563
61741,5813
16161,73610
98213,40673
12214,155392
10380,83939
38933,97883
17360,99129
90662,2771
33625,73079
10182,62534
52576,5817
51502,18101
2389,10651
25340,129274
11224,8419
76010,112258
74148,1268
37303,18217
96347,3764
50838,81104
8602,115036
64569,82473
47387,38578
87613,137875
60558,71798
83964,13959
37687,21159
23359,124394
65463,118847
94327,41159
64962,127587
23852,63674
65852,72706
67809,44516
22655,32503
47032,112434
85378,80804
29533,138377
2339,150753
3530,65837
5104,17744
38520,31127
98552,98180
24776,321
75266,62641
94285,12526
85935,38916
84941,147645
95553,14066
88219,86024
96874,63168
73434,78883
85075,94946
39107,106533
82740,62375
13044,141143
78924,38127
91203,7459
52686,119131
89706,86835
87487,130389
78785,55666
25523,77552
95097,18665
4127,70322
62895,68218
5685,108783
63001,23176
71108,14534
93989,89616
82462,104156
12269,71318
27750,92753
4316,125778
72100,36925
26710,57067
70985,97325
62389,35753
87466,134804
90611,145899
74071,68005
16603,150696
53349,155112
57163,92611
82946,73397
2867,34131
71031,10702
83598,129005
28845,30861
3097,136902
45428,65598
25647,88926
59233,113025
69773,121326
29722,52534
2771,110073
47229,128386
31330,119341
78855,23397
51696,60872
81533,68107
37902,56263
36993,51648
50532,41365
8016,117754
16562,74005
23524,22056
7830,91490
70498,139763
39809,128710
43097,34405
63662,101377
92177,10905
36597,1854
70114,47102
93716,19642
73937,122299
80819,63546
23364,54218
98781,62276
40876,108829
19498,96092
63645,141127
79220,90968
39068,82787
30214,34859
19858,155664
60066,106621
34691,105367
92620,51326
51163,127389
79637,127061
39532,114762
30349,68671
62716,39898
79191,79527
58091,107082
35232,4054
95035,45138
24316,26157
75225,121912
98203,127410
79005,132085
53430,74244
62455,25153
21589,1795
53270,34708
13385,22081
22182,15236
41740,52869
43113,147297
78208,115945
22825,21998
41658,105278
48694,69986
26171,29136
65960,140335
10914,139463
85973,133657
95771,99474
6532,93883
23349,102033
94221,151537
56807,124747
11443,90769
88359,78465
52671,144478
79081,111370
28704,47561
60007,110878
84944,151957
7283,136529
46633,7900
11164,144134
40343,21050
14600,113047
35351,76886
92328,17379
59127,54116
897,102895
44288,6487
9825,71454
62828,13451
41351,107237
13025,30157
3971,148840
