order_id,ref_id,qty
1,FW_200,2
2,CQ_20,3
3,FW_60,1
4,CQ_90,3
5,CQ_30,2
6,CQ_20,3
7,CQ_10,4
8,CQ_480,3
9,FW_150,3
10,FW_70,7
11,JY_140,5
12,JY_120,3
13,JY_390,3
14,CQ_10,2
15,FW_150,2
16,FW_450,3
17,CQ_20,4
18,CQ_330,4
19,JY_40,7
20,JY_310,2
21,FW_290,3
22,FW_130,3
23,JY_40,2
24,CQ_480,3
25,FW_100,5
26,CQ_430,2
27,JY_120,4
28,CQ_90,2
29,JY_440,1
30,FW_70,3
31,CQ_90,3
32,JY_120,1
33,JY_270,2
34,CQ_480,6
35,CQ_340,2
36,FW_170,2
37,FW_70,2
38,FW_170,5
39,FW_80,4
40,CQ_250,2
41,FW_200,3
42,CQ_320,2
43,FW_410,2
44,FW_450,4
45,FW_60,4
46,FW_150,4
47,CQ_50,3
48,JY_490,3
49,FW_360,3
50,FW_70,5
51,CQ_480,5
52,CQ_480,4
53,JY_120,4
54,CQ_210,3
55,JY_370,4
56,CQ_220,2
57,FW_230,2
58,FW_80,1
59,CQ_480,7
60,CQ_260,4
61,CQ_210,6
62,FW_80,2
63,FW_400,7
64,JY_40,3
65,JY_350,2
66,JY_500,4
67,FW_400,1
68,FW_450,3
69,FW_230,3
70,FW_80,4
71,JY_440,2
72,CQ_210,4
73,CQ_20,5
74,FW_170,4
75,FW_80,6
76,CQ_210,3
77,CQ_480,5
78,FW_60,1
79,CQ_50,4
80,JY_500,4
81,FW_230,5
82,CQ_340,1
83,FW_200,2
84,CQ_210,2
85,JY_40,3
86,JY_490,2
87,JY_500,4
88,FW_150,2
89,CQ_250,4
90,JY_120,3
91,CQ_250,2
92,CQ_480,3
93,FW_290,5
94,CQ_20,2
95,FW_150,2
96,JY_350,4
97,JY_500,6
98,CQ_340,4
99,JY_440,1
100,FW_230,2
101,CQ_90,2
102,JY_40,4
103,FW_150,2
104,JY_440,6
105,FW_230,3
106,FW_70,5
107,JY_310,1
108,JY_310,5
109,CQ_250,5
110,CQ_340,5
111,FW_170,2
112,CQ_320,2
113,CQ_340,4
114,JY_310,3
115,FW_410,1
116,JY_350,4
117,FW_190,4
118,FW_80,6
119,JY_490,5
120,JY_40,4
121,FW_70,4
122,JY_40,4
123,CQ_20,3
124,CQ_250,2
125,CQ_260,5
126,JY_500,2
127,CQ_430,3
128,FW_200,3
129,JY_380,4
130,JY_490,4
131,FW_80,2
132,CQ_480,2
133,FW_400,2
134,JY_390,5
135,CQ_330,2
136,JY_120,2
137,CQ_430,1
138,CQ_250,3
139,JY_280,5
140,CQ_480,5
141,CQ_340,3
142,FW_60,4
143,JY_120,7
144,CQ_250,1
145,FW_100,1
146,FW_170,5
147,FW_80,2
148,CQ_260,3
149,FW_400,2
150,FW_200,2
151,JY_350,2
152,FW_450,3
153,FW_150,3
154,CQ_260,5
155,JY_380,4
156,CQ_210,3
157,FW_200,3
158,JY_40,4
159,FW_70,3
160,CQ_50,3
161,FW_170,3
162,CQ_20,8
163,JY_240,4
164,JY_500,3
165,JY_350,6
166,CQ_250,2
167,CQ_480,5
168,JY_350,4
169,JY_240,4
170,FW_150,6
171,JY_280,5
172,CQ_20,1
173,FW_410,1
174,JY_440,5
175,FW_70,2
176,JY_470,2
177,FW_150,4
178,FW_100,4
179,CQ_90,3
180,JY_350,2
181,CQ_340,2
182,JY_310,3
183,JY_380,4
184,CQ_430,2
185,FW_410,3
186,FW_70,2
187,FW_230,8
188,FW_100,4
189,FW_450,4
190,FW_60,3
191,JY_120,3
192,CQ_250,2
193,JY_40,4
194,CQ_210,3
195,FW_170,3
196,JY_40,1
197,CQ_210,2
198,JY_270,4
199,CQ_480,6
200,FW_200,3
201,JY_120,3
202,JY_120,2
203,CQ_330,3
204,JY_120,4
205,CQ_480,2
206,CQ_420,1
207,CQ_10,3
208,CQ_480,2
209,CQ_210,2
210,CQ_250,4
211,JY_470,8
212,CQ_210,2
213,JY_40,3
214,FW_150,2
215,FW_150,2
216,JY_390,1
217,CQ_480,2
218,CQ_220,3
219,JY_40,3
220,FW_410,5
221,CQ_210,4
222,JY_240,5
223,JY_490,4
224,JY_490,3
225,FW_80,2
226,FW_230,5
227,JY_490,3
228,FW_290,3
229,CQ_10,5
230,JY_280,2
231,FW_100,4
232,JY_270,2
233,FW_190,5
234,CQ_90,3
235,CQ_50,4
236,FW_190,3
237,CQ_480,2
238,FW_450,3
239,JY_40,5
240,JY_240,4
241,JY_120,5
242,FW_450,4
243,JY_490,4
244,JY_440,4
245,JY_490,2
246,FW_230,5
247,FW_290,1
248,JY_280,4
249,JY_490,3
250,FW_80,4
