"home_dest","country"
"St Louis, MO","other"
"Montreal, PQ / Chesterville, ON","Canada"
"New York, NY","other"
"Hudson, NY","other"
"Belfast, NI","other"
"Bayside, Queens, NY","other"
"Montevideo, Uruguay","other"
"Paris, France","other"
"Hessle, Yorks","other"
"Montreal, PQ","Canada"
"Winnipeg, MN","Canada"
"San Francisco, CA","other"
"Dowagiac, MI","other"
"Stockholm, Sweden / Washington, DC","other"
"Trenton, NJ","other"
"Glen Ridge, NJ","other"
"Youngstown, OH","other"
"Birkdale, England Cleveland, Ohio","other"
"London / Winnipeg, MB","Canada"
"Cooperstown, NY","other"
"St Leonards-on-Sea, England Ohio","other"
"Los Angeles, CA","other"
"Pomeroy, WA","other"
"Omaha, NE","other"
"Philadelphia, PA","other"
"Denver, CO","other"
"Belmont, MA","other"
"Washington, DC","other"
"Germantown, Philadelphia, PA","other"
"Austria-Hungary / Germantown, Philadelphia, PA","other"
"Bryn Mawr, PA","other"
"Ascot, Berkshire / Rochester, NY","other"
"Little Onn Hall, Staffs","other"
"Amenia, ND","other"
"New York, NY / Ithaca, NY","other"
"London, England","other"
"Liverpool, England / Belfast","other"
"Stoughton, MA","other"
"Victoria, BC","Canada"
"Lakewood, NJ","other"
"Roachdale, IN","other"
"Milwaukee, WI","other"
"Lima, Peru","other"
"Belgium  Montreal, PQ","Canada"
"Calgary, AB","other"
"Deephaven, MN / Cedar Rapids, IA","other"
"London / Paris","other"
"Mt Airy, Philadelphia, PA","other"
"Brookline, MA","other"
"Brooklyn, NY","other"
"Winnipeg, MB","Canada"
"Westcliff-on-Sea, Essex","other"
"Zurich, Switzerland","other"
"Scituate, MA","other"
"St Anne's-on-Sea, Lancashire","other"
"Paris, France / New York, NY","other"
"Greenwich, CT","other"
"Kingston, Surrey","other"
"London / Middlesex","other"
"Brighton, MA","other"
"London / Birmingham","other"
"Chicago, IL","other"
"Indianapolis, IN","other"
"New York, NY /  Stamford CT","other"
"Paris, France New York, NY","other"
"Liverpool","other"
"Bennington, VT","other"
"London","other"
"Buffalo, NY","other"
"Southington / Noank, CT","other"
"Boston, MA","other"
"Portland, OR","other"
"Stockholm, Sweden","other"
"","other"
"Springfield, MA","other"
"London / New York, NY","other"
"Brockton, MA","other"
"Vancouver, BC","Canada"
"Dorchester, MA","other"
"East Bridgewater, MA","other"
"Green Bay, WI","other"
"Fond du Lac, WI","other"
"Lexington, MA","other"
"Isle of Wight, England","other"
"Providence, RI","other"
"?Havana, Cuba","other"
"Belfast","other"
"Surbiton Hill, Surrey","other"
"Isleworth, England","other"
"Madrid, Spain","other"
"Toronto, ON","Canada"
"Worcester, MA","other"
"Rotterdam, Netherlands","other"
"Paris /  New York, NY","other"
"Seattle, WA","other"
"London  Vancouver, BC","Canada"
"Haverford, PA / Cooperstown, NY","other"
"Manchester, England","other"
"New York, NY / Greenwich CT","other"
"Duluth, MN","other"
"Basel, Switzerland","other"
"New Britain, CT","other"
"St James, Long Island, NY","other"
"Huntington, WV","other"
"Streatham, Surrey","other"
"Minneapolis, MN","other"
"Tuxedo Park, NY","other"
"Wimbledon Park, London / Hayling Island, Hants","other"
"Newark, NJ","other"
"Haverford, PA","other"
"Gallipolis, Ohio / ? Paris / New York","other"
"Cincinatti, OH","other"
"Haddenfield, NJ","other"
"London /  East Orange, NJ","other"
"Albany, NY","other"
"Mexico City, Mexico","other"
"East Orange, NJ","other"
"England Salt Lake City, Utah","other"
"New York, NY / Briarcliff Manor NY","other"
"Brunswick, ME","other"
"Elkins Park, PA","other"
"Geneva, Switzerland / Radnor, PA","other"
"Halifax, NS","other"
"New York, NY / Washington, DC","other"
"Russia New York, NY","other"
"Buenos Aires, Argentina / New Jersey, NJ","other"
"Cornwall, England Houghton, MI","other"
"Warwick, England","other"
"West Hoboken, NJ","other"
"Penzance, Cornwall / Akron, OH","other"
"Guernsey","other"
"Bristol, Avon / Jacksonville, FL","other"
"Plymouth, Dorset / Houghton, MI","other"
"Jacksonville, FL","other"
"Norwich / New York, NY","other"
"England","other"
"Guntur, India / Benton Harbour, MI","other"
"Rochester, NY","other"
"St Ives, Cornwall / Calumet, MI","other"
"Elmira, NY / Orange, NJ","other"
"Lake Arthur, Chavez County, NM","other"
"Cape Town, South Africa / Seattle, WA","other"
"Skara, Sweden / Rockford, IL","other"
"Sittingbourne, England / San Diego, CA","other"
"Southsea, Hants","other"
"Bangkok, Thailand / Roseville, IL","other"
"Mamaroneck, NY","other"
"Bronx, NY","other"
"Cornwall / Spokane, WA","other"
"England / San Francisco, CA","other"
"Hartford, Huntingdonshire","other"
"Helsinki, Finland Ashtabula, Ohio","other"
"London / Fort Byron, NY","other"
"Bishopstoke, Hants / Fayette Valley, ID","other"
"Pennsylvania","other"
"Provo, UT","other"
"Upper Burma, India Pittsburgh, PA","other"
"Lyndhurst, England","other"
"St Ives, Cornwall / Hancock, MI","other"
"London / Staten Island, NY","other"
"Portugal / Sau Paulo, Brazil","other"
"Lucca, Italy / California","other"
"Guernsey / Elizabeth, NJ","other"
"New Forest, England","other"
"Southampton","other"
"Holley, NY","other"
"Greenport, NY","other"
"Barcelona, Spain / Havana, Cuba","other"
"England / Detroit, MI","other"
"Goteborg, Sweden / Rockford, IL","other"
"Oslo, Norway Bayonne, NJ","other"
"England / Philadelphia, PA","other"
"Cornwall / Houghton, MI","other"
"Janjgir, India / Pennsylvania","other"
"Liverpool / Montreal, PQ","Canada"
"Cornwall / Clear Creek, CO","other"
"Cornwall","other"
"Cornwall / Camden, NJ","other"
"West Kensington, London","other"
"Clevedon, England","other"
"Auburn, NY","other"
"Detroit, MI","other"
"Seattle, WA / Toledo, OH","other"
"Denmark Hill, Surrey / Chicago","other"
"Walthamstow, England","other"
"Ilford, Essex / Winnipeg, MB","Canada"
"Somerset / Bernardsville, NJ","other"
"India / Rapid City, SD","other"
"West Hampstead, London / Neepawa, MB","other"
"Kontiolahti, Finland / Detroit, MI","other"
"Cornwall / Akron, OH","other"
"Devonport, England","other"
"England / Sacramento, CA","other"
"Tokyo, Japan","other"
"Swindon, England","other"
"North Evington, England","other"
"St Ives, Cornwall / Houghton, MI","other"
"Moscow / Bronx, NY","other"
"India / Pittsburgh, PA","other"
"Harrisburg, PA","other"
"Glasgow / Bangor, ME","other"
"Sweden / Arlington, NJ","other"
"Paris / Haiti","other"
"Berne, Switzerland / Central City, IA","other"
"London / Chicago, IL","other"
"Weston-Super-Mare, Somerset","other"
"Southampton / New York, NY","other"
"Paris","other"
"Paris / Montreal, PQ","Canada"
"Worcester, England","other"
"St Austall, Cornwall","other"
"Weston-Super-Mare / Moose Jaw, SK","other"
"Sydney, Australia","other"
"Sarnia, ON","Canada"
"England / Bennington, VT","other"
"Chelsea, London","other"
"Harrow-on-the-Hill, Middlesex","other"
"Copenhagen, Denmark","other"
"Guernsey / Montclair, NJ and/or Toledo, Ohio","other"
"Frankfort, KY","other"
"Petworth, Sussex","other"
"Halesworth, England","other"
"Cambridge, MA","other"
"Nice, France","other"
"Cornwall / Hancock, MI","other"
"Glasgow","other"
"Cologne, Germany","other"
"Folkstone, Kent / New York, NY","other"
"Middleburg Heights, OH","other"
"Pondersend, England / New Durham, NJ","other"
"Spain / Havana, Cuba","other"
"Hamilton, ON","Canada"
"St Andrews, Guernsey","other"
"Woodford County, KY","other"
"Gunnislake, England / Butte, MT","other"
"Ilfracombe, Devon","other"
"Russia","other"
"Denmark / New York, NY","other"
"Milford, NH","other"
"Plymouth, Devon / Detroit, MI","other"
"Brighton, Sussex","other"
"Elizabeth, NJ","other"
"Spain","other"
"London, England / Marietta, Ohio and Milwaukee, WI","other"
"Guernsey / Wilmington, DE","other"
"Hornsey, England","other"
"Deer Lodge, MT","other"
"Finland / Minneapolis, MN","other"
"Finland / Washington, DC","other"
"Sault St Marie, ON","Canada"
"Catford, Kent / Detroit, MI","other"
"Columbus, OH","other"
"Bath, England / Massachusetts","other"
"Plymouth, England","other"
"Barre, Co Washington, VT","other"
"Antwerp, Belgium / Stanton, OH","other"
"Bristol, England / New Britain, CT","other"
"Aberdeen / Portland, OR","other"
"England / Hartford, CT","other"
"Bromsgrove, England / Montreal, PQ","Canada"
"Bournmouth, England","other"
"Guernsey, England / Edgewood, RI","other"
"Harrow, England","other"
"Yoevil, England / Cottage Grove, OR","other"
"Bryn Mawr, PA, USA","other"
"London / Montreal, PQ","Canada"
"East Providence, RI","other"
"Norway Los Angeles, CA","other"
"Perkins County, SD","other"
"Greensburg, PA","other"
"Taalintehdas, Finland Hoboken, NJ","other"
"Asarum, Sweden Brooklyn, NY","other"
"Bournemouth, England","other"
"Sweden Akeley, MN","other"
"Finland Sudbury, ON","Canada"
"London, England Norfolk, VA","other"
"England Albion, NY","other"
"Salo, Finland Astoria, OR","other"
"Argentina","other"
"Lower Clapton, Middlesex or Erdington, Birmingham","other"
"Windsor, England New York, NY","other"
"Bergen, Norway","other"
"Oslo, Norway Cameron, WI","other"
"Sweden Winnipeg, MN","Canada"
"Ruotsinphyhtaa, Finland New York, NY","other"
"Vadsbro, Sweden Ministee, MI","other"
"Hartford, CT","other"
"Sweden Chicago, IL","other"
"Bulgaria Chicago, IL","other"
"Altdorf, Switzerland","other"
"Sweden Joliet, IL","other"
"Sweden  Worcester, MA","other"
"Sweden Worcester, MA","other"
"Oskarshamn, Sweden Minneapolis, MN","other"
"Ottawa, ON","Canada"
"Krakoryd, Sweden Bloomington, IL","other"
"Ruotsinphytaa, Finland New York, NY","other"
"Syria New York, NY","other"
"London Skanteales, NY","other"
"Syria Youngstown, OH","other"
"Syria Ottawa, ON","Canada"
"England New York, NY","other"
"Krakudden, Sweden Moune, IL","other"
"Tranvik, Finland New York","other"
"Syria","other"
"Hong Kong New York, NY","other"
"Brennes, Norway New York","other"
"Stockholm, Sweden New York","other"
"Syria Kent, ON","Canada"
"Ireland Chicago, IL","other"
"Treherbert, Cardiff, Wales","other"
"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY","other"
"Medeltorp, Sweden Chicago, IL","other"
"Bridgerule, Devon","other"
"Broomfield, Chelmsford, England","other"
"Kingwilliamstown, Co Cork, Ireland New York, NY","other"
"Co Cork, Ireland Roxbury, MA","other"
"Co Cork, Ireland Charlestown, MA","other"
"Co Sligo, Ireland New York, NY","other"
"Croatia","other"
"Ireland Philadelphia, PA","other"
"Goteborg, Sweden Huntley, IL","other"
"Dagsas, Sweden Fower, MN","other"
"Co Longford, Ireland New York, NY","other"
"Co Sligo, Ireland Hartford, CT","other"
"St Denys, Southampton, Hants","other"
"Syria Fredericksburg, VA","other"
"Ireland New York, NY","other"
"Greece","other"
"Portugal","other"
"London Brooklyn, NY","other"
"Co Limerick, Ireland Sherbrooke, PQ","Canada"
"Ireland Brooklyn, NY","other"
"Ireland","other"
"Austria","other"
"England Brooklyn, NY","other"
"Merrill, WI","other"
"Bristol, England Cleveland, OH","other"
"Bournemouth, England Newark, NJ","other"
"Australia Fingal, ND","other"
"Norrlot, Sweden Chicago, IL","other"
"Co Athlone, Ireland New York, NY","other"
"Stanton, IA","other"
"West Bromwich, England Pontiac, MI","other"
"Liverpool, England Bedford, OH","other"
"Devon, England Wichita, KS","other"
"Tampico, MT","other"
"Belgium Detroit, MI","other"
"Bulgaria Coon Rapids, IA","other"
"Kilmacowen, Co Sligo, Ireland New York, NY","other"
"England Oglesby, IL","other"
"Union Hill, NJ","other"
"London New York, NY","other"
"Austria Niagara Falls, NY","other"
"Ballydehob, Co Cork, Ireland New York, NY","other"
"West Haven, CT","other"
"Austria-Hungary","other"
"Tofta, Sweden Joliet, IL","other"
"Karberg, Sweden Jerome Junction, AZ","other"
"Effington Rut, SD","other"
"Illinois, USA","other"
"Aughnacliff, Co Longford, Ireland New York, NY","other"
"Italy Philadelphia, PA","other"
"Bridgwater, Somerset, England","other"
"Rotherfield, Sussex, England Essex Co, MA","other"
"Co Clare, Ireland Washington, DC","other"
"Strood, Kent, England Detroit, MI","other"
"Wiltshire, England Niagara Falls, NY","other"
"Dorking, Surrey, England","other"
"Foresvik, Norway Portland, ND","other"
"Waukegan, Chicago, IL","other"
"Myren, Sweden New York, NY","other"
