GEO,GRADE,SEX,NUM,YEAR
Canada,Total grades,Both sexes,5106684,1997
Canada,Total grades,Both sexes,5115531,1998
Canada,Total grades,Both sexes,5125881,1999
Canada,Total grades,Both sexes,5105640,2000
Canada,Total grades,Both sexes,5099142,2001
Canada,Total grades,Both sexes,5081703,2002
Canada,Total grades,Both sexes,5016078,2003
Canada,Total grades,Both sexes,4977102,2004
Canada,Total grades,Both sexes,4937748,2005
Canada,Total grades,Both sexes,4882290,2006
Canada,Total grades,Both sexes,4828767,2007
Canada,Total grades,Both sexes,4780521,2008
Canada,Total grades,Both sexes,4747491,2009
Canada,Total grades,Both sexes,4724658,2010
Canada,Total grades,Both sexes,4707615,2011
Canada,Total grades,Both sexes,4702383,2012
Canada,Total grades,Both sexes,4706025,2013
Canada,Total grades,Males,2624175,1997
Canada,Total grades,Males,2628477,1998
Canada,Total grades,Males,2632113,1999
Canada,Total grades,Males,2616960,2000
Canada,Total grades,Males,2618313,2001
Canada,Total grades,Males,2609346,2002
Canada,Total grades,Males,2579640,2003
Canada,Total grades,Males,2558121,2004
Canada,Total grades,Males,2536863,2005
Canada,Total grades,Males,2509188,2006
Canada,Total grades,Males,2482482,2007
Canada,Total grades,Males,2458737,2008
Canada,Total grades,Males,2441733,2009
Canada,Total grades,Males,2429469,2010
Canada,Total grades,Males,2420070,2011
Canada,Total grades,Males,2416566,2012
Canada,Total grades,Males,2418294,2013
Canada,Total grades,Females,2482506,1997
Canada,Total grades,Females,2487054,1998
Canada,Total grades,Females,2493768,1999
Canada,Total grades,Females,2479926,2000
Canada,Total grades,Females,2480826,2001
Canada,Total grades,Females,2472357,2002
Canada,Total grades,Females,2436438,2003
Canada,Total grades,Females,2418981,2004
Canada,Total grades,Females,2400882,2005
Canada,Total grades,Females,2373102,2006
Canada,Total grades,Females,2346285,2007
Canada,Total grades,Females,2321784,2008
Canada,Total grades,Females,2305761,2009
Canada,Total grades,Females,2295192,2010
Canada,Total grades,Females,2287545,2011
Canada,Total grades,Females,2285817,2012
Canada,Total grades,Females,2287731,2013
Canada,Junior Kindergarten  ,Both sexes,110358,1997
Canada,Junior Kindergarten  ,Both sexes,125520,1998
Canada,Junior Kindergarten  ,Both sexes,128760,1999
Canada,Junior Kindergarten  ,Both sexes,124545,2000
Canada,Junior Kindergarten  ,Both sexes,130722,2001
Canada,Junior Kindergarten  ,Both sexes,131961,2002
Canada,Junior Kindergarten  ,Both sexes,131280,2003
Canada,Junior Kindergarten  ,Both sexes,129387,2004
Canada,Junior Kindergarten  ,Both sexes,133131,2005
Canada,Junior Kindergarten  ,Both sexes,131184,2006
Canada,Junior Kindergarten  ,Both sexes,133437,2007
Canada,Junior Kindergarten  ,Both sexes,135861,2008
Canada,Junior Kindergarten  ,Both sexes,138285,2009
Canada,Junior Kindergarten  ,Both sexes,142827,2010
Canada,Junior Kindergarten  ,Both sexes,148059,2011
Canada,Junior Kindergarten  ,Both sexes,150300,2012
Canada,Junior Kindergarten  ,Both sexes,151809,2013
Canada,Junior Kindergarten  ,Males,56298,1997
Canada,Junior Kindergarten  ,Males,64092,1998
Canada,Junior Kindergarten  ,Males,65661,1999
Canada,Junior Kindergarten  ,Males,63450,2000
Canada,Junior Kindergarten  ,Males,66726,2001
Canada,Junior Kindergarten  ,Males,67248,2002
Canada,Junior Kindergarten  ,Males,66855,2003
Canada,Junior Kindergarten  ,Males,66141,2004
Canada,Junior Kindergarten  ,Males,67575,2005
Canada,Junior Kindergarten  ,Males,66915,2006
Canada,Junior Kindergarten  ,Males,67896,2007
Canada,Junior Kindergarten  ,Males,69540,2008
Canada,Junior Kindergarten  ,Males,70776,2009
Canada,Junior Kindergarten  ,Males,72792,2010
Canada,Junior Kindergarten  ,Males,75576,2011
Canada,Junior Kindergarten  ,Males,76785,2012
Canada,Junior Kindergarten  ,Males,77655,2013
Canada,Junior Kindergarten  ,Females,54060,1997
Canada,Junior Kindergarten  ,Females,61428,1998
Canada,Junior Kindergarten  ,Females,63102,1999
Canada,Junior Kindergarten  ,Females,61095,2000
Canada,Junior Kindergarten  ,Females,63996,2001
Canada,Junior Kindergarten  ,Females,64713,2002
Canada,Junior Kindergarten  ,Females,64425,2003
Canada,Junior Kindergarten  ,Females,63246,2004
Canada,Junior Kindergarten  ,Females,65553,2005
Canada,Junior Kindergarten  ,Females,64269,2006
Canada,Junior Kindergarten  ,Females,65541,2007
Canada,Junior Kindergarten  ,Females,66318,2008
Canada,Junior Kindergarten  ,Females,67506,2009
Canada,Junior Kindergarten  ,Females,70038,2010
Canada,Junior Kindergarten  ,Females,72483,2011
Canada,Junior Kindergarten  ,Females,73515,2012
Canada,Junior Kindergarten  ,Females,74154,2013
Canada,Kindergarten,Both sexes,369051,1997
Canada,Kindergarten,Both sexes,359460,1998
Canada,Kindergarten,Both sexes,356922,1999
Canada,Kindergarten,Both sexes,351807,2000
Canada,Kindergarten,Both sexes,340086,2001
Canada,Kindergarten,Both sexes,329223,2002
Canada,Kindergarten,Both sexes,323091,2003
Canada,Kindergarten,Both sexes,318315,2004
Canada,Kindergarten,Both sexes,312348,2005
Canada,Kindergarten,Both sexes,315282,2006
Canada,Kindergarten,Both sexes,312309,2007
Canada,Kindergarten,Both sexes,318798,2008
Canada,Kindergarten,Both sexes,321717,2009
Canada,Kindergarten,Both sexes,328803,2010
Canada,Kindergarten,Both sexes,340797,2011
Canada,Kindergarten,Both sexes,355425,2012
Canada,Kindergarten,Both sexes,364869,2013
Canada,Kindergarten,Males,189312,1997
Canada,Kindergarten,Males,184716,1998
Canada,Kindergarten,Males,183795,1999
Canada,Kindergarten,Males,180348,2000
Canada,Kindergarten,Males,174960,2001
Canada,Kindergarten,Males,169422,2002
Canada,Kindergarten,Males,166023,2003
Canada,Kindergarten,Males,163530,2004
Canada,Kindergarten,Males,160935,2005
Canada,Kindergarten,Males,162111,2006
Canada,Kindergarten,Males,160953,2007
Canada,Kindergarten,Males,163869,2008
Canada,Kindergarten,Males,165807,2009
Canada,Kindergarten,Males,169239,2010
Canada,Kindergarten,Males,175623,2011
Canada,Kindergarten,Males,183084,2012
Canada,Kindergarten,Males,188031,2013
Canada,Kindergarten,Females,179736,1997
Canada,Kindergarten,Females,174741,1998
Canada,Kindergarten,Females,173127,1999
Canada,Kindergarten,Females,170754,2000
